Metadata
Material,D14924998 NEOPRENE GNA M2 CHP 100 ABAG25KG
Reference,S030068A
Batch,241226D257
Production Date,20241229
Country,US

Test Name,Test Method,Unit,Value,Specification,Result
s'TPOINT90,N200.7405,dNm,11.73,7.50 - 12.50,PASS
TIME SCORCH01,N200.7405,min.,2.47,1.60 - 3.60,PASS
VOLATILE,N200.9500,%,1.50,= < 1.30,FAIL
TIME TPOINT90,N200.7405,min.,4.84,2.10 - 7.60,PASS
ML100,N200.5700,,53,47 - 59,PASS
ML120,N200.7460,min.,9.04,= > 11.00,FAIL

Summary
Total Tests,6
PASS,4
FAIL,2
UNKNOWN,0

Failed Tests
VOLATILE,1.50,= < 1.30
ML120,9.04,= > 11.00
