Metadata
Material,D14924998 NEOPRENE GNA M2 CHP 100 ABAG25KG
Reference,S030068A
Batch,241226D257
Production Date,20241229
Country,US

Test Name,Test Method,Unit,Value,Specification,Result
s'TPOINT90,N200.7405,dNm,11.73,7.50 - 12.50,PASS
TIME SCORCH01,N200.7405,min.,2.47,1.60 - 3.60,PASS
VOLATILE,N200.9500,%,0.99,= < 1.30,PASS
TIME TPOINT90,N200.7405,min.,4.84,2.10 - 7.60,PASS
ML100,N200.5700,,53,47 - 59,PASS
ML120,N200.7460,min.,38.04,= > 11.00,PASS

Summary
Total Tests,6
PASS,6
FAIL,0
UNKNOWN,0
