Metadata
Material,D14924998 NEOPRENE GNA M2 CHP 100 ABAG25KG
Reference,SO30068A
Batch,241226D257

Test Name,Test Method,Unit,Value,Specification,Result
s'TPOINT9O N200.7405,,dNm,11.73,7.50 - 12.50,PASS
TIME SCORCHO1 N200.7405,,min.,2.47,1.60 - 3.60,PASS
VOLATILE N200.9500,,%,0.99,=< 1.30,PASS
TIME TPOINT9O N200.7405,,min.,4.84,2.10 - 7.60,PASS
ML100 N200.5700,,min.,53,47-59,PASS
ML120 N200.7460,,,38.04,=> 11.00,PASS

Summary
Total Tests,6
PASS,6
FAIL,0
UNKNOWN,0
